Title,Abstract,Selected
Product innovation with scrum: A longitudinal case study,"This paper describes the innovation processes used in a partnership between a company that provides asset integrity and maintenance management consulting services in the energy sector and a university. The challenge faced by the company is to make their in-house expertise more readily available to a worldwide audience. A longitudinal embedded case study has been used to investigate how installable desktop software applications have been redesigned to create a new set of cloud hosted software services. The innovation team adapted an agile scrum process to include exploratory prototyping and manage the geographical distribution of the team members. A minimum viable product was developed that integrated functional elements of previous software tools into an end-to-end data collection, analysis and visualisation product called AimHi which uses a cloud-hosted web services approach. The paper illustrates how the scrum software development method was tailored for a product innovation context. Extended periods of evaluation and reflection (field trials), prototyping and requirement refinement were combined with periods of incremental feature development using sprints. The AimHi product emerged from a technology transfer and innovation project that has successfully reconciled conflicting demands from customers, universities, partner companies and project staff members. © 2017 Infonomics Society.",Yes
From MVPs to pivots: A hypothesis-driven journey of two software startups,"Software startups have emerged as an interesting multiper-spective research area. Inspired by Lean Startup, a startup journey can be viewed as a series of experiments that validate a set of business hypotheses an entrepreneurial team make explicitly or inexplicitly about their startup. It is little known about how startups evolve through business hypothesis testing. This study proposes a novel approach to look at the startup evolution as a Minimum Viable Product (MVP) creating process. We identified relationships among business hypotheses and MVPs via ethnography and post-mortem analysis in two software startups. We observe that the relationship between hypotheses and MVPs is incomplete and non-linear in these two startups. We also find that entrepreneurs do learn from testing their hypotheses. However, there are hypotheses not tested by MVPs and vice versa, MVPs not related to any business hypothesis. The approach we proposed visualizes the flow of entrepreneurial knowledge across pivots via MVPs. © 2018, Springer Nature Switzerland AG.",Yes
An automated feedback-based approach to support mobile app development,"The acceptance of mobile applications is highly dependent on the realized set of features and on the quality of the application. Information about their acceptance can be gained quickly by collecting and analyzing user feedback such as explicit textual reviews provided by an application's users or implicitly provided usage data. With an approach based on developing a minimal set of functions in order to realize a minimum viable product (MVP), it is possible to put a product on the market within a short amount of time. Currently, the elicitation, analysis, and processing of user feedback is unfocused and takes too much time and effort to mitigate the poor quality of the application. Hence, we outline an approach named Opti4Apps, which is aimed at tailored quality assurance as part of MVP development and enables and expands the benefits of an MVP by providing a semiautomated feedback elicitation, analysis, and processing framework. This is intended to raise the effectiveness and efficiency of early user feedback consideration during further development in order to assure the quality and acceptance of an app as an MVP. We will present the overall structure as well as the process behind the Opti4Apps framework. As proof-ofconcept, we implemented an initial prototype of our idea, focused on textual user feedback. © 2017 IEEE.",Yes
Enabling focused software quality assurance in agile software development processes for mobile applications using text and usage mining methods,"The acceptance of mobile applications that support services, such as navigation guidance or travel management, is highly dependent on the set of features implemented and the application quality. Information about the acceptance can be gained quickly by collecting user feedback like explicit textual reviews given by the application users or their implicitly given usage data. Considering an approach that bases on developing a minimal set of functions in order to realize a minimal viable product (MVP), it is possible to place a product with a short time to market. In this paper the Opti4Apps approach is presented. It aims at a focused quality assurance as part of the MVP development, which enables and expands the benefits of MVP by providing a semi-automated feedback elicitation, analysis and processing framework. The Opti4Apps process adjusts to mobile development habits including an additional automated feedback and usage data processing infrastructure. Copyright c 2017 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.",Yes
Rapid lean UX development through user feedback revelation,"The development of software within short timeframes calls for concepts like minimum viable products with lean development. An agile development setting allows software products to be put on the market in time. Nevertheless, quality, especially in terms of user requirements, suffers when the focus is on the speed of the development. Therefore, we have developed the approach Opti4Apps, which considers user feedback automatically. This automation enables rapid user feedback to be revealed, which is needed for lean development in order to achieve high software quality in accordance with the users’ needs. This paper shows how the approach can be applied smoothly in agile development settings by analyzing common agile practices with regard to our user-centric feedback approach Opti4Apps. It turned out that with most practices, the additional effort is low, and the positive influence can be highly beneficial. © Springer International Publishing AG 2017.",Yes
"Building a digital tool for the adoption of the world health organization's antenatal care recommendations: Methodological intersection of evidence, clinical logic, and digital technology","Background: One of the key mandates of the World Health Organization (WHO) is to develop guidelines, defined as ""a document containing recommendations for clinical practice or public health policy.""Guidelines represent the global standard for information sources shaping clinical practice and public health policies. Despite the rigorous development process and the value of guidelines for setting standards, implementing such standards within local contexts and at the point of care is a well-documented challenge. Digital technologies enable agile information management and may facilitate the adaptation of guidelines to diverse settings of health services delivery. Objective: The objective of this paper is to detail the systematic and iterative process involved in transforming the WHO Antenatal Care (ANC) guidelines into a digital decision-support and patient-record application for routine use in primary health care settings, known as the WHO digital ANC module. Methods: The WHO convened a team of clinical and digital health experts to develop the WHO digital ANC module as a tool to assist health care professionals in the implementation of WHO evidence-based recommendations for pregnant women. The WHO digital ANC module's creation included the following steps: defining a minimum viable product (MVP), developing clinical workflows and algorithms, algorithm testing, developing a data dictionary, and the creation of a user interface or application development. The overall process of development took approximately 1 year to reach a stable prototype and to finalize the underlying content requirements of the data dictionary and decision support algorithms. Results: The first output is a reference software reflecting the generic WHO ANC guideline content, known as the WHO digital ANC module. Within it, all actionable ANC recommendations have related data fields and algorithms to confirm whether the associated task was performed. WHO recommendations that are not carried out by the health care worker are saved as pending tasks on a woman's health record, and those that are adequately fulfilled trigger messages with positive reinforcement. The second output consists of the structured documentation of the different components which contributed to the development of the WHO digital ANC module, such as the data dictionary and clinical decision support workflows. Conclusions: This is a novel approach to facilitate the adoption and adaptation of recommendations through digital systems at the health service delivery level. It is expected that the WHO digital ANC module will support the implementation of evidence-based practices and provide information for monitoring and surveillance; however, further evidence is needed to understand how the WHO digital ANC module impacts the implementation of WHO recommendations. Further, the module's implementation will inform the WHO's ongoing efforts to create a pathway to adaptive and integrated (Smart) Guidelines in Digital Systems to improve health system quality, coverage, and accountability. © Samira M Haddad, Renato T Souza, Jose Guilherme Cecatti, Maria Barreix, Tigest Tamrat, Carolyn Footitt, Garrett L Mehl, Inraini F Syah, Anuraj H Shankar, Özge Tunçalp.",Yes
What influences the speed of prototyping? An empirical investigation of twenty software startups,"It is essential for startups to quickly experiment business ideas by building tangible prototypes and collecting user feedback on them. As prototyping is an inevitable part of learning for early stage software startups, how fast startups can learn depends on how fast they can prototype. Despite of the importance, there is a lack of research about prototyping in software startups. In this study, we aimed at understanding what are factors influencing different types of prototyping activities. We conducted a multiple case study on twenty European software startups. The results are two folds; firstly we propose a prototype-centric learning model in early stage software startups. Secondly, we identify factors occur as barriers but also facilitators for prototyping in early stage software startups. The factors are grouped into (1) artifacts, (2) team competence, (3) collaboration, (4) customer and (5) process dimensions. To speed up a startup’s progress at the early stage, it is important to incorporate the learning objective into a well-defined collaborative approach of prototyping. © The Author(s) 2017.",Yes
Towards Automated Capturing and Processing of User Feedback for Optimizing Mobile Apps,"Mobile devices are nowadays ubiquitous and are heavily used for business and private purposes. Millions of apps exist that support users in multiple ways, e.g., for car navigation, fitness purposes, or messaging in our private lives, but also for business planning purposes and even for controlling whole business processes. Failures in mobile business apps can lead to dramatic consequences in terms of lost revenue, but also in terms of lost trust or even threats for human beings, and thus quality plays a crucial role. On the other hand, as software is nowadays one of the main drivers for innovation, fast delivery of new apps, respectively new functionality, is necessary, i.e., the time to market must often be short. However, in order to understand whether the quality is sufficient, and whether the functionality of the app serves the needs of the users, lean development approaches are emerging and propose the deployment of apps as a minimal viable product (MVP). Here, the app is provided with acceptable quality, but not with every feature, just with the main functionality. Based on such an MVP, early feedback from users is to be collected, which may be related to the quality of the app, but also include wishes and requests for new functionality. In order to analyze and draw conclusions from user feedback, we first have to understand what kind of feedback exists and how it can be interpreted, respectively how valid such feedback is. In this publication, we provide a classification of user feedback for mobile apps, derive feedback channels, and sketch how this can be used in a continuous process to improve mobile apps. © 2017 The Authors. Published by Elsevier B.V.",Yes
Minimum viable product or multiple facet product? The role of MVP in software startups,"Minimum viable product (MVP) is the main focus of both business and product development activities in software startups. We empirically explored five early stage software startups to understand how MVP are used in early stages. Data was collected from interviews, observation and documents. We looked at the MVP usage from two angles, software prototyping and boundary spanning theory. We found that roles of MVPs in startups were not fully aware by entrepreneurs. Besides supporting validated learning, MVPs are used to facilitate product design, to bridge communication gaps and to facilitate cost-effective product development activities. Entrepreneurs should consider a systematic approach to fully explore the value of MVP, as a multiple facet product (MFP). The work also implies several research directions about prototyping practices and patterns in software startups. © The Author(s) 2016.",Yes
Three patterns for user involvement in startups,"Creating products in software startups consists of a great deal of uncertainty combined with little resources. Rapid validation of created solutions with the potential customers is essential to startups. However, often startups lack people with skills needed for the validation. We present three patterns that help in involving users to gain meaningful feedback and learning. First, the feedback has to be gotten from the right people and the right questions have to be asked. Furthermore, if the feedback is collected with a prototype, often called a Minimum Viable Product, users should be able to give feedback of the actual idea, not to any roughness caused by the immaturity and the prototypishness of the product.",Yes
Creating minimum viable products in industry-academia collaborations,"Customer value determines how products and services succeed in the marketplace. Early assessment of customer value is important for software startups, spin-off companies, and new product development in existing companies. Software technology often influences customer value and typically defines the main competitive advantage in both entrepreneurial and intrapreneurial settings. Value-related feedback from real customers is needed during software development and maintenance, and decision-making should be increasingly based on empirical evidence acquired through experiments. Getting such value-related feedback usually requires a so-called minimum viable product (MVP), i.e., an artefact that may be incomplete in functionality or quality, but displays characteristics that allows determining its customer value. In this article we report on a case study which used industry-academia collaboration for creating such an MVP. Our goal was to identify strengths and weaknesses of such an approach to creating MVPs while providing practical recommendations for improvement. The process followed in the case study was found to be very suitable for creating MVPs, reducing company-specific risks when testing customer-value, and advancing university education. © Springer-Verlag Berlin Heidelberg 2013.",Yes
The benefits of interdisciplinary scenario-building for hybrid radio applications,"In this paper, we make the case for building interdisciplinary scenarios, integrating technological, business and user perspective during the fuzzy front-end of innovation. We start from a living lab framework, underpinning the iterative process to integrate insights from all three perspectives within research projects. Then, we explain how the approach was applied within the HRADIO project1. This EU funded project focuses on the development of hybrid radio applications. We demonstrate how the process of building interdisciplinary scenarios and the involvement of multiple perspectives to evaluate these scenarios, has enabled both strategic decision making (1) and improved the technical development process within the HRADIO project (2). The first focuses on the (lack of) interest in certain scenarios from a business, technology and/or user perspective, to explain: (a) how these thresholds can be overcome and (b) what the consequences are for the project. The latter explains how we moved from interdisciplinary scenarios to a first Minimum Viable Product (MVP) that could be tested in the first pilot phase, to prototypes to be tested in the second pilot phase. To validate the importance of the scenarios, we also explain how the scenarios are integrated into the exploitation timeline. Finally, and importantly, we address how the process of multidisciplinary scenario building and evaluation can be improved. © 2020 Elsevier Ltd",Yes
Developing high-value technology for first responders,,Yes
Continuous Improvement and Validation with Customer Touchpoint Model in Software Development,,Yes
Brazilian Startups and the Current Software Engineering Challenges:The Case of Tecnopuc,,Yes
Hybrid Labels Are the New Measure!,,Yes
Development of an app for the dental care of Deaf people: Odontoseñas,"Background: Most Deaf people are often illiterate and communicate via sign language, hindering their dental care, causing high levels of oral morbidity and feelings of unfairness by the dental staff. Objective: To achieve effective communication between the dentist and the Deaf patient using an app. Materials and methods: Focus group were conducted by a team comprising dentists, Chilean Sign Language (ChSL) interpreters, Deaf people and a software programmer to identify the most prevalent and important phrases used during dental care. A Minimum Viable Product App including draft videos in SL were developed and evaluated by external teams through in-office simulations and surveys. Evaluation by Deaf people and dentists was carried out using the Dental Visit Satisfaction Scale and System Usability Scale, respectively. Improvements were made in each cycle, until reaching agreement for a final (release) version. Results: Thirteen ChSL videos were recorded and incorporated in the App Odontoseñas. The overall usability of the software scored 96 points over 100. The overall satisfaction of Deaf people without the software was 21, and with the software was 29 over 30. Conclusions: Odontoseñas gives relevant information about dental care, facilitating diagnosis, treatment and improving oral health care experience for the Deaf patient. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.",Yes
Predicting the Vector Impact of Change-An Industrial Case Study at Brightsquid,"Background: Understanding and controlling the impact of change decides about the success or failure of evolving products. The problem magnifies for start-ups operating with limited resources. Their usual focus is on Minimum Viable Product (MVP's) providing specialized functionality, thus have little expense available for handling changes. Aims: Change Impact Analysis (CIA) refers to the identification of source code files impacted when implementing a change request. We extend this question to predict not only affected files, but also the effort needed for implementing the change, and the duration necessary for that. Method: This study evaluates the performance of three textual similarity techniques for CIA based on Bag of words in combination with either topic modeling or file coupling. Results: The approaches are applied on data from two industrial projects. The data comes as part of an industrial collaboration project with Brightsquid, a Canadian start-up company specializing in secure communication solutions. Performance analysis shows that combining textual similarity with file coupling improves impact prediction, resulting in Recall of 67%. Effort and duration can be predicted with 84% and 72% accuracy using textual similarity only. Conclusions: The relative effort invested into CIA for predicting impacted files can be reduced by extending its applicability to multiple dimensions which include impacted files, effort, and duration. © 2017 IEEE.",Yes
An analysis of the bluetooth terminal development pivots from lean startup perspective: experience and lessons learnt,,Yes
Lean R&D: An Agile Research and Development Approach for Digital Transformation,"Petrobras is a large publicly-held company that operates in the oil,
gas and energy industry. Recently, they conducted internal dynamics to identify
several Digital Transformation (DT) opportunities to leverage their operational

excellence. Addressing such opportunities typically requires Research and De-
velopment (R&D) uncertainties that could lead traditional R&D cooperation

terms to be negotiated in years. However, there are time-to-market constraints
for fast-paced deliveries to experiment solution options. With this in mind, they
partnered up with PUC-Rio to establish a new DT initiative. The goal of this
paper is to present the Lean R&D approach, tailored within this new initiative,

and results of two case studies regarding its application in practice. We de-
signed Lean R&D integrating the following building blocks: (i) Lean Incep-
tions, to allow stakeholders to jointly outline a Minimal Viable Product (MVP);

(ii) early parallel technical feasibility assessment and conception phases, allow-
ing to ‘fail fast’; (iii) scrum-based development management; and (iv) strategi-
cally aligned continuous experimentation to test business hypotheses. In the two

reported case studies, Lean R&D enabled addressing research-related uncertain-
ties early and to efficiently deliver valuable MVPs within four months, showing

itself suitable for supporting the DT initiative. Key success factors were the
business strategy alignment, the defined roles and co-creation philosophy with
strong integration between Petrobras and PUC-Rio’s teams, and continuous

support of a highly qualified research team. Main opportunities for improve-
ment, based on our lessons learned, rely on better adapting Lean Inceptions to

the DT context and on scaling the approach to a project portfolio level of ab-
straction.",Yes
